"id";"id_departement";"nom_commune";"slug";"code_postal";"code_insee";"latitude";"longitude"
82;101;"AMBERIEU EN BUGEY";"amberieu-en-bugey";"01500";1004;45.95;5.35
83;101;"AMBRONAY";"ambronay";"01500";1007;46;5.35
84;101;"AMBUTRIX";"ambutrix";"01500";1008;45.933333;5.333333
85;101;"APREMONT";"apremont";"01100";1011;46.208333;5.658333
86;101;"ARBENT";"arbent";"01100";1014;46.3;5.683333
87;101;"BALAN";"balan";"01360";1027;45.833333;5.1
88;101;"BELIGNEUX";"beligneux";"01360";1032;45.866667;5.116667
89;101;"BELLEYDOUX";"belleydoux";"01130";1035;46.25;5.766667
90;101;"BELLIGNAT";"bellignat";"01810";1031;46.25;5.616667
91;101;"BETTANT";"bettant";"01500";1041;45.933333;5.366667
92;101;"BLYES";"blyes";"01150";1047;45.85;5.25
93;101;"BOLOZON";"bolozon";"01450";1051;46.2;5.483333
94;101;"BOURG ST CHRISTOPHE";"bourg-saint-christophe";"01800";1054;45.883333;5.166667
95;101;"BOYEUX ST JEROME";"boyeux-saint-jerome";"01640";1056;46.033333;5.466667
96;101;"BRESSOLLES";"bressolles";"01360";1062;45.866667;5.1
97;101;"BRION";"brion";"01460";1063;46.1728;5.55251
98;101;"CEIGNES";"ceignes";"01430";1067;46.116667;5.5
99;101;"CERDON";"cerdon";"01450";1068;46.083333;5.466667
100;101;"CHALLES LA MONTAGNE";"challes-la-montagne";"01450";1077;46.133333;5.466667
101;101;"CHARIX";"charix";"01130";1087;46.183333;5.683333
102;101;"CHARNOZ SUR AIN";"charnoz-sur-ain";"01800";1088;45.866667;5.216667
103;101;"CHATEAU GAILLARD";"chateau-gaillard";"01500";1089;45.966667;5.3
104;101;"CHAZEY SUR AIN";"chazey-sur-ain";"01150";1099;45.9;5.25
105;101;"DAGNEUX";"dagneux";"01120";1142;45.85;5.066667
106;101;"DORTAN";"dortan";"01590";1148;46.316667;5.666667
107;101;"DOUVRES";"douvres";"01500";1149;45.983333;5.366667
108;101;"ECHALLON";"echallon";"01130";1152;46.21;5.74139
109;101;"FARAMANS";"faramans";"01800";1156;45.9;5.116667
110;101;"GEOVREISSET";"geovreisset";"01100";1171;46.25;5.6
111;101;"GEOVREISSIAT";"geovreissiat";"01460";1170;46.2;5.566667
112;101;"GROISSIAT";"groissiat";"01810";1181;46.216667;5.6
113;101;"IZERNORE";"izernore";"01580";1192;46.216667;5.55
114;101;"JOYEUX";"joyeux";"01800";1198;45.95;5.1
115;101;"JUJURIEUX";"jujurieux";"01640";1199;46.033333;5.416667
116;101;"LABALME";"labalme";"01450";1200;46.1;5.483333
117;101;"L ABERGEMENT DE VAREY";"labergement-de-varey";"01640";1002;46;5.416667
118;101;"LA BOISSE";"la-boisse";"01120";1049;45.85;5.033333
119;101;"LAGNIEU";"lagnieu";"01150";1202;45.9;5.35
120;101;"LALLEYRIAT";"lalleyriat";"01130";1204;46.15;5.716667
121;101;"LE MONTELLIER";"le-montellier";"01800";1260;45.933333;5.066667
122;101;"LE POIZAT";"le-poizat";"01130";1300;46.15;5.7
123;101;"LES NEYROLLES";"les-neyrolles";"01130";1274;46.133333;5.633333
124;101;"LEYMENT";"leyment";"01150";1213;45.916667;5.3
125;101;"LEYSSARD";"leyssard";"01450";1214;46.166667;5.466667
126;101;"LOYETTES";"loyettes";"01360";1224;45.766667;5.2
127;101;"MAILLAT";"maillat";"01430";1228;46.133333;5.55
128;101;"MARTIGNAT";"martignat";"01810";1237;46.216667;5.6
129;101;"MATAFELON GRANGES";"matafelon-granges";"01580";1240;46.266667;5.566667
130;101;"MERIGNAT";"merignat";"01450";1242;46.066667;5.433333
131;101;"MEXIMIEUX";"meximieux";"01800";1244;45.9;5.2
132;101;"MONTLUEL";"montluel";"01120";1262;45.85;5.05
133;101;"MONTREAL LA CLUSE";"montreal-la-cluse";"01460";1265;46.1867;5.57084
134;101;"NANTUA";"nantua";"01130";1269;46.15;5.616667
135;101;"NIEVROZ";"nievroz";"01120";1276;45.833333;5.066667
136;101;"NURIEUX VOLOGNAT";"nurieux-volognat";"01460";1267;46.1856;5.52667
137;101;"OYONNAX";"oyonnax";"01100";1283;46.25;5.666667
138;101;"PEROUGES";"perouges";"01800";1290;45.9;5.183333
139;101;"PEYRIAT";"peyriat";"01430";1293;46.15;5.516667
140;101;"PIZAY";"pizay";"01120";1297;45.883333;5.083333
141;101;"PONCIN";"poncin";"01450";1303;46.083333;5.4
142;101;"PORT";"port";"01460";1307;46.166667;5.566667
143;101;"RIGNIEUX LE FRANC";"rignieux-le-franc";"01800";1325;45.933333;5.183333
144;101;"ST ALBAN";"saint-alban";"01450";1331;46.1;5.45
145;101;"ST DENIS EN BUGEY";"saint-denis-en-bugey";"01500";1345;45.95;5.333333
146;101;"STE CROIX";"sainte-croix";"01120";1342;45.8942;5.05195
147;101;"STE JULIE";"sainte-julie";"01150";1366;45.883333;5.283333
148;101;"ST ELOI";"saint-eloi";"01800";1349;45.933333;5.15
149;101;"ST JEAN DE NIOST";"saint-jean-de-niost";"01800";1361;45.833333;5.216667
150;101;"ST JEAN LE VIEUX";"saint-jean-le-vieux";"01640";1363;46.0284;5.38917
151;101;"ST MARTIN DU FRENE";"saint-martin-du-frene";"01430";1373;46.133333;5.55
152;101;"ST MAURICE DE GOURDANS";"saint-maurice-de-gourdans";"01800";1378;45.816667;5.2
153;101;"ST MAURICE DE REMENS";"saint-maurice-de-remens";"01500";1379;45.95;5.283333
154;101;"ST SORLIN EN BUGEY";"saint-sorlin-en-bugey";"01150";1386;45.883333;5.366667
155;101;"ST VULBAS";"saint-vulbas";"01150";1390;45.833333;5.283333
156;101;"SAMOGNAT";"samognat";"01580";1392;46.25;5.583333
157;101;"SAULT BRENAZ";"sault-brenaz";"01150";1396;45.85;5.416667
158;101;"SERRIERES SUR AIN";"serrieres-sur-ain";"01450";1404;46.15;5.45
159;101;"SONTHONNAX LA MONTAGNE";"sonthonnax-la-montagne";"01580";1410;46.233333;5.533333
160;101;"SOUCLIN";"souclin";"01150";1411;45.866667;5.416667
161;101;"VAUX EN BUGEY";"vaux-en-bugey";"01150";1431;45.916667;5.35
162;101;"VILLEBOIS";"villebois";"01150";1444;45.85;5.433333
163;101;"VILLIEU LOYES MOLLON";"villieu-loyes-mollon";"01800";1450;45.9206;5.22223
164;101;"AMBLEON";"ambleon";"01300";1006;45.75;5.6
165;101;"ANDERT ET CONDON";"andert-et-condon";"01300";1009;45.8;5.65
166;101;"ANGLEFORT";"anglefort";"01350";1010;45.916667;5.808333
167;101;"ARANC";"aranc";"01110";1012;46;5.5
168;101;"ARANDAS";"arandas";"01230";1013;45.9;5.483333
169;101;"ARBIGNIEU";"arbignieu";"01300";1015;45.733333;5.65
170;101;"ARGIS";"argis";"01230";1017;45.933333;5.483333
171;101;"ARMIX";"armix";"01510";1019;45.85;5.583333
172;101;"ARTEMARE";"artemare";"01510";1022;45.866667;5.7
173;101;"BELLEGARDE SUR VALSERINE";"bellegarde-sur-valserine";"01200";1033;46.1;5.816667
174;101;"BELLEY";"belley";"01300";1034;45.766667;5.683333
175;101;"BELMONT LUTHEZIEU";"belmont-luthezieu";"01260";1036;45.8795;5.66167
176;101;"BENONCES";"benonces";"01470";1037;45.833333;5.483333
177;101;"BEON";"beon";"01350";1039;45.833333;5.75
178;101;"BILLIAT";"billiat";"01200";1044;46.066667;5.783333
179;101;"BREGNIER CORDON";"bregnier-cordon";"01300";1058;45.65;5.616667
180;101;"BRENAZ";"brenaz";"01260";1059;45.95;5.716667
181;101;"BRENOD";"brenod";"01110";1060;46.066667;5.6
182;101;"BRENS";"brens";"01300";1061;45.7187;5.69473
183;101;"BRIORD";"briord";"01470";1064;45.783333;5.466667
184;101;"CESSY";"cessy";"01170";1071;46.316667;6.066667
185;101;"CEYZERIEU";"ceyzerieu";"01350";1073;45.833333;5.733333
186;101;"CHALEY";"chaley";"01230";1076;45.95;5.533333
187;101;"CHALLEX";"challex";"01630";1078;46.183333;5.966667
188;101;"CHAMPAGNE EN VALROMEY";"champagne-en-valromey";"01260";1079;45.9;5.683333
189;101;"CHAMPDOR";"champdor";"01110";1080;46.016667;5.6
190;101;"CHAMPFROMIER";"champfromier";"01410";1081;46.2;5.816667
191;101;"CHANAY";"chanay";"01420";1082;46;5.783333
192;101;"CHATILLON EN MICHAILLE";"chatillon-en-michaille";"01200";1091;46.133333;5.783333
193;101;"CHAVORNAY";"chavornay";"01510";1097;45.883333;5.7
194;101;"CHAZEY BONS";"chazey-bons";"01300";1098;45.8;5.683333
195;101;"CHEIGNIEU LA BALME";"cheignieu-la-balme";"01510";1100;45.833333;5.616667
196;101;"CHEVILLARD";"chevillard";"01430";1101;46.116667;5.583333
197;101;"CHEVRY";"chevry";"01170";1103;46.283333;6.033333
198;101;"CHEZERY FORENS";"chezery-forens";"01200";1104;46.216667;5.883333
199;101;"CLEYZIEU";"cleyzieu";"01230";1107;45.9;5.433333
200;101;"COLLONGES";"collonges";"01550";1109;46.133333;5.9
201;101;"COLOMIEU";"colomieu";"01300";1110;45.733333;5.616667
202;101;"CONAND";"conand";"01230";1111;45.883333;5.466667
203;101;"CONDAMINE";"condamine";"01430";1112;46.116667;5.566667
204;101;"CONFORT";"confort";"01200";1114;46.15;5.816667
205;101;"CONTREVOZ";"contrevoz";"01300";1116;45.8;5.633333
206;101;"CONZIEU";"conzieu";"01300";1117;45.733333;5.6
207;101;"CORBONOD";"corbonod";"01420";1118;45.95;5.816667
208;101;"CORCELLES";"corcelles";"01110";1119;46.033333;5.583333
209;101;"CORLIER";"corlier";"01110";1121;46.033333;5.5
210;101;"CORMARANCHE EN BUGEY";"cormaranche-en-bugey";"01110";1122;45.95;5.6
211;101;"CRESSIN ROCHEFORT";"cressin-rochefort";"01350";1133;45.766667;5.766667
212;101;"CROZET";"crozet";"01170";1135;46.2806;6.01251
213;101;"CULOZ";"culoz";"01350";1138;45.85;5.783333
214;101;"CUZIEU";"cuzieu";"01300";1141;45.8192;5.67445
215;101;"DIVONNE LES BAINS";"divonne-les-bains";"01220";1143;46.366667;6.133333
216;101;"ECHENEVEX";"echenevex";"01170";1153;46.316667;6.033333
217;101;"EVOSGES";"evosges";"01230";1155;45.958333;5.5
218;101;"FARGES";"farges";"01550";1158;46.166667;5.916667
219;101;"FERNEY VOLTAIRE";"ferney-voltaire";"01210";1160;46.25;6.116667
220;101;"FLAXIEU";"flaxieu";"01350";1162;45.816667;5.733333
221;101;"GEX";"gex";"01170";1173;46.333333;6.066667
222;101;"GIRON";"giron";"01130";1174;46.233333;5.766667
223;101;"GRILLY";"grilly";"01220";1180;46.333333;6.116667
224;101;"GROSLEE";"groslee";"01680";1182;45.716667;5.566667
225;101;"HAUTEVILLE LOMPNES";"hauteville-lompnes";"01110";1185;45.966667;5.6
226;101;"HOSTIAZ";"hostiaz";"01110";1186;45.9;5.533333
227;101;"HOTONNES";"hotonnes";"01260";1187;46;5.683333
228;101;"INJOUX GENISSIAT";"injoux-genissiat";"01200";1189;46.05;5.783333
229;101;"INNIMOND";"innimond";"01680";1190;45.783333;5.566667
230;101;"IZENAVE";"izenave";"01430";1191;46.033333;5.533333
231;101;"IZIEU";"izieu";"01300";1193;45.65;5.633333
232;101;"LA BURBANCHE";"la-burbanche";"01510";1066;45.85;5.566667
233;101;"LANCRANS";"lancrans";"01200";1205;46.133333;5.833333
234;101;"LANTENAY";"lantenay";"01430";1206;46.05;5.533333
235;101;"LAVOURS";"lavours";"01350";1208;45.8;5.766667
236;101;"LEAZ";"leaz";"01200";1209;46.1;5.883333
237;101;"LE GRAND ABERGEMENT";"le-grand-abergement";"01260";1176;46.033333;5.666667
238;101;"LELEX";"lelex";"01410";1210;46.3;5.95
239;101;"LE PETIT ABERGEMENT";"le-petit-abergement";"01260";1292;46.033333;5.65
240;101;"LHOPITAL";"lhopital";"01420";1215;46.0217;5.77834
241;101;"LHUIS";"lhuis";"01680";1216;45.75;5.533333
242;101;"LOCHIEU";"lochieu";"01260";1218;45.933333;5.716667
243;101;"LOMPNAS";"lompnas";"01680";1219;45.8;5.516667
244;101;"LOMPNIEU";"lompnieu";"01260";1221;45.966667;5.65
245;101;"MAGNIEU";"magnieu";"01300";1227;45.783333;5.716667
246;101;"MARCHAMP";"marchamp";"01680";1233;45.783333;5.55
247;101;"MARIGNIEU";"marignieu";"01300";1234;45.8;5.716667
248;101;"MASSIGNIEU DE RIVES";"massignieu-de-rives";"01300";1239;45.75;5.766667
249;101;"MIJOUX";"mijoux";"01170";1247;46.366667;6
250;101;"MONTAGNIEU";"montagnieu";"01470";1255;45.8;5.466667
251;101;"MONTANGES";"montanges";"01200";1257;46.166667;5.8
252;101;"MURS ET GELIGNIEUX";"murs-et-gelignieux";"01300";1268;45.633333;5.666667
253;101;"NATTAGES";"nattages";"01300";1271;45.733333;5.766667
254;101;"NIVOLLET MONTGRIFFON";"nivollet-montgriffon";"01230";1277;45.983333;5.433333
255;101;"ONCIEU";"oncieu";"01230";1279;45.95;5.466667
256;101;"ORDONNAZ";"ordonnaz";"01510";1280;45.833333;5.533333
257;101;"ORNEX";"ornex";"01210";1281;46.283333;6.1
258;101;"OUTRIAZ";"outriaz";"01430";1282;46.066667;5.55
259;101;"PARVES";"parves";"01300";1286;45.75;5.75
260;101;"PERON";"peron";"01630";1288;46.2;5.933333
261;101;"PEYRIEU";"peyrieu";"01300";1294;45.6767;5.67751
262;101;"PLAGNE";"plagne";"01130";1298;46.183333;5.733333
263;101;"POLLIEU";"pollieu";"01350";1302;45.8;5.75
264;101;"POUGNY";"pougny";"01550";1308;46.133333;5.95
265;101;"PREMEYZEL";"premeyzel";"01300";1310;45.683333;5.65
266;101;"PREMILLIEU";"premillieu";"01510";1311;45.866667;5.566667
267;101;"PREVESSIN MOENS";"prevessin-moens";"01280";1313;46.25;6.083333
268;101;"PUGIEU";"pugieu";"01510";1316;45.816667;5.65
269;101;"ROSSILLON";"rossillon";"01510";1329;45.833333;5.6
270;101;"RUFFIEU";"ruffieu";"01260";1330;46;5.666667
271;101;"ST BENOIT";"saint-benoit";"01300";1338;45.7;5.583333
272;101;"ST BOIS";"saint-bois";"01300";1340;45.7;5.633333
273;101;"ST CHAMP";"saint-champ";"01300";1341;45.783333;5.733333
274;101;"ST GENIS POUILLY";"saint-genis-pouilly";"01630";1354;46.25;6.016667
275;101;"ST GERMAIN DE JOUX";"saint-germain-de-joux";"01130";1357;46.183333;5.733333
276;101;"ST GERMAIN LES PAROISSES";"saint-germain-les-paroisses";"01300";1358;45.766667;5.616667
277;101;"ST JEAN DE GONVILLE";"saint-jean-de-gonville";"01630";1360;46.216667;5.95
278;101;"ST MARTIN DE BAVEL";"saint-martin-de-bavel";"01510";1372;45.85;5.683333
279;101;"ST RAMBERT EN BUGEY";"saint-rambert-en-bugey";"01230";1384;45.95;5.433333
280;101;"SAUVERNY";"sauverny";"01220";1397;46.316667;6.116667
281;101;"SEGNY";"segny";"01170";1399;46.3;6.083333
282;101;"SEILLONNAZ";"seillonnaz";"01470";1400;45.8;5.483333
283;101;"SERGY";"sergy";"01630";1401;46.25;6
284;101;"SERRIERES DE BRIORD";"serrieres-de-briord";"01470";1403;45.8081;5.45445
285;101;"SEYSSEL";"seyssel";"01420";1407;45.9597;5.83194
286;101;"SONGIEU";"songieu";"01260";1409;45.966667;5.7
287;101;"SURJOUX";"surjoux";"01420";1413;46.016667;5.8
288;101;"SUTRIEU";"sutrieu";"01260";1414;45.95;5.65
289;101;"TALISSIEU";"talissieu";"01510";1415;45.866667;5.716667
290;101;"TENAY";"tenay";"01230";1416;45.916667;5.5
291;101;"THEZILLIEU";"thezillieu";"01110";1417;45.883333;5.6
292;101;"THOIRY";"thoiry";"01710";1419;46.2364;5.97973
293;101;"TORCIEU";"torcieu";"01230";1421;45.916667;5.4
294;101;"VERSONNEX";"versonnex";"01210";1435;46.3023;6.09723
295;101;"VESANCY";"vesancy";"01170";1436;46.35;6.083333
296;101;"VIEU";"vieu";"01260";1442;45.9;5.683333
297;101;"VIEU D IZENAVE";"vieu-dizenave";"01430";1441;46.083333;5.533333
298;101;"VILLES";"villes";"01200";1448;46.083333;5.783333
299;101;"VIRIEU LE GRAND";"virieu-le-grand";"01510";1452;45.85;5.65
300;101;"VIRIEU LE PETIT";"virieu-le-petit";"01260";1453;45.9;5.716667
301;101;"VIRIGNIN";"virignin";"01300";1454;45.716667;5.716667
302;101;"VONGNES";"vongnes";"01350";1456;45.816667;5.716667
303;101;"AMBERIEUX EN DOMBES";"amberieux-en-dombes";"01330";1005;46;4.9
304;101;"ARBIGNY";"arbigny";"01190";1016;46.466667;4.966667
305;101;"ARS SUR FORMANS";"ars-sur-formans";"01480";1021;45.983333;4.816667
306;101;"ASNIERES SUR SAONE";"asnieres-sur-saone";"01570";1023;46.383333;4.883333
307;101;"BAGE LA VILLE";"bage-la-ville";"01380";1025;46.316667;4.95
308;101;"BAGE LE CHATEL";"bage-le-chatel";"01380";1026;46.3;4.933333
309;101;"BANEINS";"baneins";"01990";1028;46.116667;4.9
310;101;"BEAUREGARD";"beauregard";"01480";1030;46.002;4.75139
311;101;"BEY";"bey";"01290";1042;46.216667;4.85
312;101;"BEYNOST";"beynost";"01700";1043;45.833333;5
313;101;"BIRIEUX";"birieux";"01330";1045;45.95;5.033333
314;101;"BIZIAT";"biziat";"01290";1046;46.216667;4.933333
315;101;"BOISSEY";"boissey";"01190";1050;46.383333;5
316;101;"BOULIGNEUX";"bouligneux";"01330";1052;46.016667;5
317;101;"BOZ";"boz";"01190";1057;46.4;4.9
318;101;"CHALAMONT";"chalamont";"01320";1074;46;5.166667
319;101;"CHALEINS";"chaleins";"01480";1075;46.033333;4.8
320;101;"CHANEINS";"chaneins";"01990";1083;46.1;4.85
321;101;"CHANOZ CHATENAY";"chanoz-chatenay";"01400";1084;46.183333;5.033333
322;101;"CHATENAY";"chatenay";"01320";1090;46.033333;5.2
